date,nav,amfi_code
2013-01-01,228.943,119018
2013-01-02,231.032,119018
2013-01-03,231.435,119018
2013-01-04,232.035,119018
2013-01-07,231.066,119018
2013-01-08,231.139,119018
2013-01-09,230.498,119018
2013-01-10,230.44,119018
2013-01-11,229.727,119018
2013-01-14,233.008,119018
2013-01-15,233.936,119018
2013-01-16,230.797,119018
2013-01-17,232.393,119018
2013-01-18,234.155,119018
2013-01-21,234.841,119018
2013-01-22,232.444,119018
2013-01-23,232.271,119018
2013-01-24,229.474,119018
2013-01-25,232.733,119018
2013-01-28,232.816,119018
2013-01-29,231.285,119018
2013-01-30,230.861,119018
2013-01-31,231.208,119018
2013-02-01,230.308,119018
2013-02-04,228.696,119018
2013-02-05,227.359,119018
2013-02-06,227.416,119018
2013-02-07,225.917,119018
2013-02-08,224.277,119018
2013-02-11,224.331,119018
2013-02-12,225.168,119018
2013-02-13,224.512,119018
2013-02-14,222.494,119018
2013-02-15,222.501,119018
2013-02-18,223.002,119018
2013-02-19,224.648,119018
2013-02-20,223.952,119018
2013-02-21,220.112,119018
2013-02-22,220.166,119018
2013-02-25,219.699,119018
2013-02-26,216.441,119018
2013-02-27,218.387,119018
2013-02-28,212.897,119018
2013-03-01,214.515,119018
2013-03-04,213.627,119018
2013-03-05,217.337,119018
2013-03-06,219.375,119018
2013-03-07,220.573,119018
2013-03-08,223.112,119018
2013-03-11,222.912,119018
2013-03-12,221.68,119018
2013-03-13,218.502,119018
2013-03-14,221.417,119018
2013-03-15,219.958,119018
2013-03-18,218.403,119018
2013-03-19,214.581,119018
2013-03-20,211.168,119018
2013-03-21,209.461,119018
2013-03-22,208.857,119018
2013-03-25,207.915,119018
2013-03-26,207.964,119018
2013-03-28,210.782,119018
2013-04-01,211.858,119018
2013-04-02,214.527,119018
2013-04-03,211.482,119018
2013-04-04,208.241,119018
2013-04-05,208.084,119018
2013-04-08,207.429,119018
2013-04-09,205.514,119018
2013-04-10,207.954,119018
2013-04-11,209.727,119018
2013-04-12,207.894,119018
2013-04-15,209.665,119018
2013-04-16,213.516,119018
2013-04-17,214.211,119018
2013-04-18,217.525,119018
2013-04-22,219.694,119018
2013-04-23,218.895,119018
2013-04-25,221.123,119018
2013-04-26,219.101,119018
2013-04-29,220.449,119018
2013-04-30,221.578,119018
2013-05-02,223.913,119018
2013-05-03,221.23,119018
2013-05-06,222.419,119018
2013-05-07,224.691,119018
2013-05-08,225.152,119018
2013-05-09,224.983,119018
2013-05-10,226.708,119018
2013-05-13,222.743,119018
2013-05-14,223.796,119018
2013-05-15,229.403,119018
2013-05-16,230.73,119018
2013-05-17,232.016,119018
2013-05-20,230.494,119018
2013-05-21,228.64,119018
2013-05-22,227.056,119018
2013-05-23,220.782,119018
2013-05-24,221.922,119018
2013-05-27,224.219,119018
2013-05-28,225.396,119018
2013-05-29,224.316,119018
2013-05-30,224.584,119018
2013-05-31,220.397,119018
2013-06-03,220.201,119018
2013-06-04,219.839,119018
2013-06-05,219.867,119018
2013-06-06,220.179,119018
2013-06-07,218.51,119018
2013-06-10,217.257,119018
2013-06-11,213.714,119018
2013-06-12,212.595,119018
2013-06-13,209.834,119018
2013-06-14,214.288,119018
2013-06-17,215.619,119018
2013-06-18,214.419,119018
2013-06-19,214.66,119018
2013-06-20,208.386,119018
2013-06-21,207.927,119018
2013-06-24,204.178,119018
2013-06-25,203.86,119018
2013-06-26,203.469,119018
2013-06-27,205.891,119018
2013-06-28,211.331,119018
2013-07-01,214.49,119018
2013-07-02,213.221,119018
2013-07-03,208.7,119018
2013-07-04,210.781,119018
2013-07-05,211.202,119018
2013-07-08,209.082,119018
2013-07-09,210.713,119018
2013-07-10,209.111,119018
2013-07-11,212.603,119018
2013-07-12,215.065,119018
2013-07-15,216.048,119018
2013-07-16,212.187,119018
2013-07-17,210.818,119018
2013-07-18,213.315,119018
2013-07-19,212.748,119018
2013-07-22,212.513,119018
2013-07-23,214.114,119018
2013-07-24,210.572,119018
2013-07-25,208.49,119018
2013-07-26,206.389,119018
2013-07-29,204.621,119018
2013-07-30,200.763,119018
2013-07-31,201.277,119018
2013-08-01,199.631,119018
2013-08-02,197.032,119018
2013-08-05,197.683,119018
2013-08-06,192.898,119018
2013-08-07,193.942,119018
2013-08-08,195.376,119018
2013-08-12,197.306,119018
2013-08-13,200.561,119018
2013-08-14,202.662,119018
2013-08-16,194.356,119018
2013-08-19,191.131,119018
2013-08-20,191.492,119018
2013-08-21,187.884,119018
2013-08-22,191.65,119018
2013-08-23,193.768,119018
2013-08-26,194.206,119018
2013-08-27,188.674,119018
2013-08-28,187.712,119018
2013-08-29,191.332,119018
2013-08-30,193.1,119018
2013-09-02,196.319,119018
2013-09-03,189.685,119018
2013-09-04,193.437,119018
2013-09-05,198.301,119018
2013-09-06,201.358,119018
2013-09-10,207.536,119018
2013-09-11,209.428,119018
2013-09-12,206.649,119018
2013-09-13,207.056,119018
2013-09-16,206.879,119018
2013-09-17,207.218,119018
2013-09-18,209.048,119018
2013-09-19,217.051,119018
2013-09-20,212.894,119018
2013-09-23,208.289,119018
2013-09-24,207.762,119018
2013-09-25,208.01,119018
2013-09-26,208.055,119018
2013-09-27,207.04,119018
2013-09-30,202.859,119018
2013-10-01,204.703,119018
2013-10-03,209.305,119018
2013-10-04,209.426,119018
2013-10-07,209.547,119018
2013-10-08,210.145,119018
2013-10-09,212.579,119018
2013-10-10,213.883,119018
2013-10-11,216.981,119018
2013-10-14,217.808,119018
2013-10-15,216.454,119018
2013-10-17,214.617,119018
2013-10-18,220.289,119018
2013-10-21,221.818,119018
2013-10-22,221.991,119018
2013-10-23,221.724,119018
2013-10-24,221.367,119018
2013-10-25,220.423,119018
2013-10-28,218.31,119018
2013-10-29,222.958,119018
2013-10-30,223.895,119018
2013-10-31,227.352,119018
2013-11-01,229.216,119018
2013-11-05,228.9,119018
2013-11-06,227.17,119018
2013-11-07,224.897,119018
2013-11-08,224.591,119018
2013-11-11,222.118,119018
2013-11-12,219.53,119018
2013-11-13,218.718,119018
2013-11-14,222.512,119018
2013-11-18,226.944,119018
2013-11-19,228.367,119018
2013-11-20,225.037,119018
2013-11-21,220.735,119018
2013-11-22,220.548,119018
2013-11-25,225.881,119018
2013-11-26,223.384,119018
2013-11-27,223.473,119018
2013-11-28,224.789,119018
2013-11-29,228.713,119018
2013-12-02,229.881,119018
2013-12-03,229.67,119018
2013-12-04,228.288,119018
2013-12-05,232.182,119018
2013-12-06,233.153,119018
2013-12-09,237.571,119018
2013-12-10,235.856,119018
2013-12-11,233.64,119018
2013-12-12,230.954,119018
2013-12-13,228.114,119018
2013-12-16,228.648,119018
2013-12-17,228.94,119018
2013-12-18,232.297,119018
2013-12-19,230.924,119018
2013-12-20,234.79,119018
2013-12-23,235.68,119018
2013-12-24,235.577,119018
2013-12-26,236.145,119018
2013-12-27,237.029,119018
2013-12-30,235.953,119018
2013-12-31,236.726,119018
2014-01-01,236.744,119018
2014-01-02,232.8,119018
2014-01-03,232.855,119018
2014-01-06,232.309,119018
2014-01-07,230.282,119018
2014-01-08,230.37,119018
2014-01-09,229.428,119018
2014-01-10,229.017,119018
2014-01-13,232.285,119018
2014-01-14,231.583,119018
2014-01-15,233.926,119018
2014-01-16,233.596,119018
2014-01-17,231.22,119018
2014-01-20,233.166,119018
2014-01-21,234.71,119018
2014-01-22,235.799,119018
2014-01-23,235.583,119018
2014-01-24,231.37,119018
2014-01-27,224.963,119018
2014-01-28,224.732,119018
2014-01-29,224.9,119018
2014-01-30,222.307,119018
2014-01-31,224.988,119018
2014-02-03,221.29,119018
2014-02-04,221.958,119018
2014-02-05,222.95,119018
2014-02-06,222.917,119018
2014-02-07,224.532,119018
2014-02-10,224.135,119018
2014-02-11,225.042,119018
2014-02-12,225.831,119018
2014-02-13,222.343,119018
2014-02-14,223.774,119018
2014-02-17,224.514,119018
2014-02-18,226.802,119018
2014-02-19,227.501,119018
2014-02-20,225.029,119018
2014-02-21,227.328,119018
2014-02-24,228.247,119018
2014-02-25,228.963,119018
2014-02-26,230.029,119018
2014-02-28,232.405,119018
2014-03-03,230.743,119018
2014-03-04,234.063,119018
2014-03-05,236.558,119018
2014-03-06,239.815,119018
2014-03-07,245.032,119018
2014-03-10,245.688,119018
2014-03-11,243.773,119018
2014-03-12,243.005,119018
2014-03-13,242.239,119018
2014-03-14,243.271,119018
2014-03-18,245.094,119018
2014-03-19,245.294,119018
2014-03-20,242.864,119018
2014-03-21,243.56,119018
2014-03-24,246.638,119018
2014-03-25,247.622,119018
2014-03-26,249.339,119018
2014-03-27,250.96,119018
2014-03-28,254.614,119018
2014-03-31,255.399,119018
2014-04-01,255.843,119018
2014-04-02,259.369,119018
2014-04-03,257.54,119018
2014-04-04,256.779,119018
2014-04-07,256.152,119018
2014-04-09,261.721,119018
2014-04-10,262.364,119018
2014-04-11,261.398,119018
2014-04-15,259.12,119018
2014-04-16,256.672,119018
2014-04-17,261.674,119018
2014-04-21,264.268,119018
2014-04-22,264.013,119018
2014-04-23,264.975,119018
2014-04-25,263.163,119018
2014-04-28,263.288,119018
2014-04-29,260.414,119018
2014-04-30,258.752,119018
2014-05-02,258.958,119018
2014-05-05,259.76,119018
2014-05-06,260.739,119018
2014-05-07,259.269,119018
2014-05-08,259.508,119018
2014-05-09,267.913,119018
2014-05-12,274.435,119018
2014-05-13,279.672,119018
2014-05-14,282.009,119018
2014-05-15,282.097,119018
2014-05-16,288.413,119018
2014-05-19,296.974,119018
2014-05-20,296.718,119018
2014-05-21,295.726,119018
2014-05-22,298.316,119018
2014-05-23,305.497,119018
2014-05-26,303.764,119018
2014-05-27,300.503,119018
2014-05-28,300.529,119018
2014-05-29,296.631,119018
2014-05-30,294.928,119018
2014-06-02,302.694,119018
2014-06-03,304.657,119018
2014-06-04,306.146,119018
2014-06-05,310.471,119018
2014-06-06,315.828,119018
2014-06-09,319.181,119018
2014-06-10,318.243,119018
2014-06-11,316.935,119018
2014-06-12,317.951,119018
2014-06-13,310.179,119018
2014-06-16,310.252,119018
2014-06-17,315.862,119018
2014-06-18,312.849,119018
2014-06-19,310.818,119018
2014-06-20,308.831,119018
2014-06-23,309.17,119018
2014-06-24,314.507,119018
2014-06-25,313.518,119018
2014-06-26,309.677,119018
2014-06-27,310.909,119018
2014-06-30,316.552,119018
2014-07-01,317.477,119018
2014-07-02,321.309,119018
2014-07-03,321.08,119018
2014-07-04,322.822,119018
2014-07-07,323.59,119018
2014-07-08,313.369,119018
2014-07-09,310.67,119018
2014-07-10,309.839,119018
2014-07-11,301.431,119018
2014-07-14,302.456,119018
2014-07-15,308.346,119018
2014-07-16,312.51,119018
2014-07-17,314.793,119018
2014-07-18,313.986,119018
2014-07-21,313.573,119018
2014-07-22,315.266,119018
2014-07-23,316.454,119018
2014-07-24,317.629,119018
2014-07-25,312.895,119018
2014-07-28,310.045,119018
2014-07-30,312.443,119018
2014-07-31,310.953,119018
2014-08-01,308.774,119018
2014-08-04,313.505,119018
2014-08-05,315.151,119018
2014-08-06,312.029,119018
2014-08-07,311.295,119018
2014-08-08,306.989,119018
2014-08-11,310.716,119018
2014-08-12,314.529,119018
2014-08-13,312.732,119018
2014-08-14,316.019,119018
2014-08-18,321.743,119018
2014-08-19,323.481,119018
2014-08-20,322.451,119018
2014-08-21,324.598,119018
2014-08-22,325.834,119018
2014-08-25,324.606,119018
2014-08-26,323.307,119018
2014-08-27,325.322,119018
2014-08-28,325.687,119018
2014-09-01,330.7,119018
2014-09-02,332.017,119018
2014-09-03,333.892,119018
2014-09-04,332.326,119018
2014-09-05,333.582,119018
2014-09-08,337.962,119018
2014-09-09,338.224,119018
2014-09-10,335.98,119018
2014-09-11,337.308,119018
2014-09-12,338.823,119018
2014-09-15,337.882,119018
2014-09-16,329.327,119018
2014-09-17,331.469,119018
2014-09-18,337.39,119018
2014-09-19,335.434,119018
2014-09-22,336.138,119018
2014-09-23,329.187,119018
2014-09-24,326.806,119018
2014-09-25,321.743,119018
2014-09-26,325.924,119018
2014-09-29,326.264,119018
2014-09-30,326.482,119018
2014-10-01,325.395,119018
2014-10-07,321.845,119018
2014-10-08,322.487,119018
2014-10-09,327.894,119018
2014-10-10,323.72,119018
2014-10-13,325.1,119018
2014-10-14,324.504,119018
2014-10-16,318.536,119018
2014-10-17,321.561,119018
2014-10-20,326.222,119018
2014-10-21,328.186,119018
2014-10-22,330.473,119018
2014-10-27,330.261,119018
2014-10-28,332.354,119018
2014-10-29,334.54,119018
2014-10-30,336.826,119018
2014-10-31,343.767,119018
2014-11-03,345.169,119018
2014-11-05,345.931,119018
2014-11-07,346.422,119018
2014-11-10,346.059,119018
2014-11-11,347.677,119018
2014-11-12,348.343,119018
2014-11-13,346.245,119018
2014-11-14,349.566,119018
2014-11-17,352.966,119018
2014-11-18,353.784,119018
2014-11-19,350.5,119018
2014-11-20,350.977,119018
2014-11-21,353.642,119018
2014-11-24,356.543,119018
2014-11-25,352.243,119018
2014-11-26,353.044,119018
2014-11-27,353.348,119018
2014-11-28,359.593,119018
2014-12-01,358.161,119018
2014-12-02,358.056,119018
2014-12-03,359.454,119018
2014-12-04,360.727,119018
2014-12-05,358.715,119018
2014-12-08,353.274,119018
2014-12-09,347.016,119018
2014-12-10,349.355,119018
2014-12-11,346.992,119018
2014-12-12,343.981,119018
2014-12-15,341.825,119018
2014-12-16,335.272,119018
2014-12-17,334.744,119018
2014-12-18,342.622,119018
2014-12-19,345.125,119018
2014-12-22,347.987,119018
2014-12-23,345.655,119018
2014-12-24,343.184,119018
2014-12-26,344.62,119018
2014-12-29,346.205,119018
2014-12-30,347.128,119018
2014-12-31,348.854,119018
2015-01-01,349.312,119018
2015-01-02,352.999,119018
2015-01-05,352.329,119018
2015-01-06,341.08,119018
2015-01-07,341.322,119018
2015-01-08,346.892,119018
2015-01-09,348.565,119018
2015-01-12,350.516,119018
2015-01-13,348.607,119018
2015-01-14,347.737,119018
2015-01-15,356.399,119018
2015-01-16,356.157,119018
2015-01-19,357.45,119018
2015-01-20,361.62,119018
2015-01-21,364.398,119018
2015-01-22,365.111,119018
2015-01-23,367.776,119018
2015-01-27,370.962,119018
2015-01-28,371.537,119018
2015-01-29,371.661,119018
2015-01-30,364.717,119018
2015-02-02,364.142,119018
2015-02-03,360.491,119018
2015-02-04,357.741,119018
2015-02-05,354.938,119018
2015-02-06,352.399,119018
2015-02-09,344.638,119018
2015-02-10,347.206,119018
