date,nav,amfi_code
2013-01-02,111.733,120152
2013-01-03,112.13,120152
2013-01-04,112.702,120152
2013-01-07,112.718,120152
2013-01-08,112.841,120152
2013-01-09,112.75,120152
2013-01-10,112.648,120152
2013-01-11,112.102,120152
2013-01-14,113.235,120152
2013-01-15,114.241,120152
2013-01-16,113.389,120152
2013-01-17,114.309,120152
2013-01-18,115.112,120152
2013-01-21,115.769,120152
2013-01-22,115.207,120152
2013-01-23,115.447,120152
2013-01-24,114.434,120152
2013-01-25,115.187,120152
2013-01-28,115.034,120152
2013-01-29,114.452,120152
2013-01-30,114.564,120152
2013-01-31,114.082,120152
2013-02-01,113.885,120152
2013-02-04,113.043,120152
2013-02-05,112.097,120152
2013-02-06,112.025,120152
2013-02-07,111.265,120152
2013-02-08,110.652,120152
2013-02-11,110.502,120152
2013-02-12,111.681,120152
2013-02-13,111.897,120152
2013-02-14,110.682,120152
2013-02-15,110.463,120152
2013-02-18,110.332,120152
2013-02-19,111.128,120152
2013-02-20,111.286,120152
2013-02-21,109.575,120152
2013-02-22,110.029,120152
2013-02-25,109.737,120152
2013-02-26,108.048,120152
2013-02-27,108.885,120152
2013-02-28,107.144,120152
2013-03-01,107.864,120152
2013-03-04,107.687,120152
2013-03-05,109.15,120152
2013-03-06,109.63,120152
2013-03-07,110.512,120152
2013-03-08,112.12,120152
2013-03-11,111.974,120152
2013-03-12,111.37,120152
2013-03-13,110.124,120152
2013-03-14,111.152,120152
2013-03-15,110.406,120152
2013-03-18,109.622,120152
2013-03-19,107.822,120152
2013-03-20,106.298,120152
2013-03-21,106.169,120152
2013-03-22,105.81,120152
2013-03-25,105.749,120152
2013-03-26,105.909,120152
2013-03-28,106.864,120152
2013-04-01,107.261,120152
2013-04-02,108.145,120152
2013-04-03,106.705,120152
2013-04-04,105.076,120152
2013-04-05,104.921,120152
2013-04-08,105.052,120152
2013-04-09,103.821,120152
2013-04-10,104.989,120152
2013-04-11,105.432,120152
2013-04-12,105.044,120152
2013-04-15,106.038,120152
2013-04-16,108.256,120152
2013-04-17,107.972,120152
2013-04-18,109.54,120152
2013-04-22,110.62,120152
2013-04-23,110.687,120152
